iter	RMSE
295	1.523804816
296	1.519266491
297	1.514660645
298	1.509603825
299	1.505350199
300	1.499803134
301	1.496693367
302	1.493126828
303	1.487825907
304	1.484833363
305	1.479356691
306	1.475683324
307	1.47056012
308	1.466334039
309	1.462540318
310	1.458132897
311	1.454131544
312	1.451307276
313	1.44634499
314	1.444394401
315	1.440876035
316	1.436843224
317	1.433753081
318	1.431003522
319	1.42761196
320	1.422191173
321	1.418846947
322	1.414136078
323	1.411151129
324	1.408411046
325	1.405230538
326	1.402501933
327	1.399727264
328	1.394963611
329	1.389355656
330	1.386026917
331	1.383672698
332	1.378951263
333	1.375356907
334	1.371493635
335	1.365969956
336	1.36302319
337	1.359572258
338	1.35639873
339	1.354338534
340	1.350251669
341	1.34585094
342	1.342611512
343	1.339681162
344	1.336533897
345	1.33405194
346	1.331775119
347	1.328331209
348	1.326449458
349	1.323032899
350	1.320522462
351	1.317857157
352	1.31300379
353	1.309829891
354	1.307815127
355	1.304612868
356	1.299773589
357	1.297615617
358	1.292065786
359	1.288351952
360	1.285836661
361	1.283398169
362	1.282009365
363	1.279217179
364	1.276716601
365	1.27275717
366	1.26879956
367	1.266839593
368	1.264373625
369	1.259689455
370	1.256831588
371	1.252505257
372	1.250377479
373	1.247102818
374	1.244429184
375	1.238817536
376	1.236279296
377	1.234600426
378	1.231755543
379	1.228006417
380	1.225768518
381	1.223218681
382	1.219879671
383	1.215739395
384	1.213121937
385	1.210978305
386	1.209049169
387	1.206292604
388	1.203683552
389	1.199743005
390	1.196542041
391	1.19503668
392	1.19131656
393	1.188591575
394	1.186202675
395	1.182293716
396	1.179164574
397	1.177332643
398	1.175011079
399	1.171093654
400	1.168449962
401	1.166117692
402	1.164720888
403	1.161526778
404	1.159207945
405	1.157391179
406	1.154157489
407	1.150766234
408	1.148538029
409	1.146248224
410	1.142535569
411	1.140905568
412	1.137021923
413	1.133943888
414	1.131676874
415	1.128916309
416	1.12654616
417	1.124141391
418	1.120412582
419	1.117305163
420	1.115554878
421	1.113245735
422	1.110695077
423	1.108176742
424	1.105515215
425	1.101575378
426	1.098309159
427	1.096279854
428	1.093669702
429	1.091415803
430	1.089129633
431	1.086933022
432	1.083142867
433	1.080583577
434	1.07874063
435	1.076645936
436	1.074035894
437	1.072695861
438	1.071202299
439	1.07058824
440	1.069005769
441	1.067424529
442	1.065855602
443	1.063947282
444	1.061485709
445	1.060369677
446	1.057236845
447	1.055210937
448	1.051135495
449	1.049705781
450	1.048237293
451	1.044682163
452	1.042690752
453	1.040797794
454	1.037435162
455	1.035051438
456	1.033126031
457	1.030900095
458	1.028724141
459	1.02730508
460	1.025149069
461	1.022545873
462	1.019517863
463	1.017546463
464	1.016242383
465	1.014910832
466	1.01283098
467	1.010774345
468	1.009097098
469	1.007687645
470	1.006559688
471	1.004594619
472	1.002760552
473	1.000913786
474	0.9997251032
475	0.9976212965
476	0.9959873004
477	0.9949473167
478	0.9931100935
479	0.9913437643
480	0.9892382888
481	0.987744451
482	0.9870261285
483	0.9852852035
484	0.9828772064
485	0.9813019794
486	0.9791395943
487	0.9771339294
488	0.9761381053
489	0.9747857091
490	0.9737722811
491	0.9726413423
492	0.9708636018
493	0.9702030162
494	0.9689814781
495	0.9671481507
496	0.9658346678
497	0.965223125
498	0.9637955673
499	0.9621438201
